,YEAR,SEX,AGE_GROUP,deaths,rate
343,1988,Males,10–14,11.0,1.7
344,1988,Males,15–19,17.0,2.4
345,1988,Males,20–24,11.0,1.6
346,1988,Males,25–29,24.0,3.4
347,1988,Males,30–34,17.0,2.6
348,1988,Males,35–39,10.0,1.6
349,1988,Males,40–44,10.0,1.7
350,1988,Males,45–49,9.0,2.0
351,1988,Males,50–54,11.0,2.8
352,1988,Males,55–59,6.0,1.6
353,1988,Males,60–64,9.0,2.5
354,1988,Males,65–69,12.0,4.1
355,1988,Males,70–74,2.0,0.9
356,1988,Males,75–79,10.0,7.0
357,1988,Males,80–84,4.0,5.4
358,1988,Males,85+,2.0,5.3
359,1988,Males,Missing,0.0,
360,1988,Females,0–4,39.0,6.5
361,1988,Females,5–9,3.0,0.5
362,1988,Females,10–14,1.0,0.2
363,1988,Females,15–19,1.0,0.1
364,1988,Females,20–24,1.0,0.2
365,1988,Females,25–29,2.0,0.3
366,1988,Females,30–34,4.0,0.6
367,1988,Females,35–39,0.0,0.0
368,1988,Females,40–44,1.0,0.2
369,1988,Females,45–49,2.0,0.5
370,1988,Females,50–54,3.0,0.8
371,1988,Females,55–59,1.0,0.3
372,1988,Females,60–64,1.0,0.3
373,1988,Females,65–69,1.0,0.3
374,1988,Females,70–74,3.0,1.1
375,1988,Females,75–79,2.0,1.0
376,1988,Females,80–84,4.0,3.1
377,1988,Females,85+,1.0,1.0
378,1988,Females,Missing,0.0,
379,1989,Males,0–4,56.0,8.8
380,1989,Males,5–9,8.0,1.3
381,1989,Males,10–14,7.0,1.1
382,1989,Males,15–19,22.0,3.0
383,1989,Males,20–24,25.0,3.7
384,1989,Males,25–29,21.0,2.9
385,1989,Males,30–34,14.0,2.1
386,1989,Males,35–39,12.0,1.8
387,1989,Males,40–44,14.0,2.3
388,1989,Males,45–49,7.0,1.5
389,1989,Males,50–54,3.0,0.7
390,1989,Males,55–59,14.0,3.8
391,1989,Males,60–64,4.0,1.1
392,1989,Males,65–69,12.0,3.9
393,1989,Males,70–74,7.0,3.3
394,1989,Males,75–79,9.0,6.0
395,1989,Males,80–84,2.0,2.6
396,1989,Males,85+,7.0,17.5
397,1989,Males,Missing,0.0,
398,1989,Females,0–4,25.0,4.1
399,1989,Females,5–9,0.0,0.0
